Accident_Index;Number_of_Vehicles;Number_of_Casualties;Date;Time;Speed_limit;Road_conditions;Weather_conditions;Day;Road_type;Light_conditions;biker_gender;biker_severity_injury;biker_age_group
19954100C0243;2;1;1995-04-17;14:20;30.0;Wet;Rain;Monday;Single carriageway;Daylight;Male;Serious;16 to 20
19954100C0250;2;1;1995-04-20;12:15;30.0;Dry;Clear;Thursday;Single carriageway;Daylight;Male;Slight;11 to 15
19954100C0256;2;2;1995-04-21;15:09;30.0;Dry;Clear;Friday;Single carriageway;Daylight;Male;Serious;6 to 10
19954100C0264;2;1;1995-04-24;16:40;30.0;Dry;Clear;Monday;Roundabout;Daylight;Male;Slight;26 to 35
19954100C0281;2;1;1995-02-05;08:30;60.0;Dry;Clear;Tuesday;Single carriageway;Daylight;Male;Slight;16 to 20
19954100C0285;2;2;1995-03-04;17:05;30.0;Dry;Clear;Monday;Single carriageway;Daylight;Male;Slight;11 to 15
19954100C0286;2;1;1995-03-05;17:40;30.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Male;Slight;6 to 10
19954100C0294;2;1;1995-05-05;17:30;30.0;Dry;Clear;Friday;Single carriageway;Daylight;Male;Slight;11 to 15
19954100C0306;2;1;1995-10-05;17:45;30.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Male;Serious;16 to 20
19954100C0316;2;1;1995-05-16;09:30;30.0;Dry;Clear;Tuesday;Roundabout;Daylight;Male;Slight;46 to 55
19954100C0336;2;1;1995-05-26;17:05;30.0;Dry;Clear;Friday;Single carriageway;Daylight;Male;Slight;26 to 35
19954100C0355;2;1;1995-05-06;17:20;30.0;Dry;Clear;Monday;Single carriageway;Daylight;Male;Slight;6 to 10
19954100C0357;2;1;1995-10-06;12:55;30.0;Dry;Clear;Saturday;Unknown;Daylight;Male;Slight;6 to 10
19954100C0358;2;1;1995-11-06;12:43;30.0;Wet;Rain;Sunday;Single carriageway;Daylight;Male;Serious;56 to 65
19954100C0359;2;4;1995-06-13;16:35;30.0;Dry;Clear;Tuesday;Single carriageway;Daylight;Male;Slight;6 to 10
19954100C0361;2;1;1995-10-06;15:52;30.0;Dry;Clear;Saturday;Single carriageway;Daylight;Male;Serious;11 to 15
19954100C0367;2;1;1995-05-06;16:00;30.0;Dry;Clear;Monday;Dual carriageway;Daylight;Female;Slight;46 to 55
19954100C0380;2;1;1995-06-20;09:33;30.0;Dry;Clear;Tuesday;Roundabout;Daylight;Male;Slight;21 to 25
19954100C0397;2;2;1995-06-27;10:21;30.0;Dry;Clear;Tuesday;Single carriageway;Daylight;Female;Slight;26 to 35
19954100C0422;2;1;1995-10-07;17:00;30.0;Dry;Clear;Monday;Single carriageway;Daylight;Male;Serious;6 to 10
19954100C0427;2;1;1995-07-16;15:50;30.0;Dry;Clear;Sunday;Dual carriageway;Daylight;Female;Slight;21 to 25
19954100C0433;2;1;1995-07-19;08:25;30.0;Dry;Clear;Wednesday;Single carriageway;Daylight;Female;Slight;11 to 15
